sequence,genre,num_frames,mean_motion,std_motion,max_motion,median_motion,total_displacement
gHO_sBM_cAll_d20_mHO5_ch05,gHO,426,0.8094931,0.35483253,1.6341907,0.87878907,344.03458
gWA_sBM_cAll_d26_mWA0_ch02,gWA,720,0.5739858,0.48280352,4.0914025,0.41931552,412.6958
gLO_sBM_cAll_d15_mLO2_ch07,gLO,576,0.7921568,0.4240672,1.8418592,0.7503861,455.49017
gKR_sBM_cAll_d29_mKR1_ch01,gKR,640,1.0559709,0.4624062,2.8797438,1.0671616,674.7654
gKR_sBM_cAll_d29_mKR0_ch01,gKR,720,0.56978345,0.3704375,2.140492,0.51243854,409.67432
gBR_sBM_cAll_d06_mBR3_ch01,gBR,524,1.4213634,0.33890542,2.2319894,1.4137914,743.37305
gBR_sBM_cAll_d06_mBR2_ch01,gBR,576,1.341865,0.43738517,2.345785,1.4164276,771.5723
gKR_sBM_cAll_d30_mKR2_ch08,gKR,576,0.6251153,0.3426405,1.792158,0.5527648,359.44128
gMH_sBM_cAll_d24_mMH3_ch07,gMH,524,1.0503217,0.43188295,2.0983126,1.0535378,549.31824
gMH_sBM_cAll_d24_mMH3_ch06,gMH,524,1.0422715,0.49577093,2.3948915,0.99464947,545.108
gKR_sBM_cAll_d30_mKR2_ch09,gKR,576,0.2784539,0.16401969,0.8187985,0.24397272,160.11098
gWA_sFM_cAll_d25_mWA0_ch01,gWA,2878,0.6339687,0.413638,3.622024,0.54426533,1823.928
gMH_sFM_cAll_d23_mMH3_ch11,gMH,2093,1.1859684,0.6619995,3.7971206,1.101284,2481.046
gLH_sBM_cAll_d17_mLH0_ch02,gLH,720,0.984303,0.32099172,1.817431,0.982955,707.71387
gLO_sBM_cAll_d15_mLO2_ch06,gLO,576,0.98178554,0.37599197,2.0065067,0.9843754,564.5267
gLH_sBM_cAll_d17_mLH1_ch02,gLH,640,1.1917189,0.6886842,3.4493105,1.0709103,761.5084
gWA_sBM_cAll_d26_mWA0_ch03,gWA,720,0.3441467,0.40760475,3.2055483,0.17796423,247.44148
gHO_sBM_cAll_d20_mHO5_ch10,gHO,426,0.7880103,0.42720452,1.8708223,0.7281829,334.9044
gHO_sBM_cAll_d20_mHO5_ch04,gHO,426,1.023894,0.33511278,1.6291963,1.0823178,435.1549
gWA_sBM_cAll_d25_mWA0_ch06,gWA,720,0.682788,0.26301488,1.4423015,0.6865182,490.9246
gJS_sBM_cAll_d03_mJS4_ch01,gJS,480,0.034470662,0.031162301,0.1322451,0.022456355,16.511448
gJS_sBM_cAll_d03_mJS5_ch01,gJS,443,0.032810695,0.044716273,0.33415934,0.017965341,14.502327
gLH_sBM_cAll_d17_mLH4_ch08,gLH,480,0.34506774,0.13104595,0.7876915,0.33561435,165.28745
gMH_sBM_cAll_d22_mMH3_ch08,gMH,524,1.2984856,0.6675566,3.2489603,1.146493,679.108
gWA_sBM_cAll_d25_mWA1_ch02,gWA,640,0.5522249,0.25942174,1.7815979,0.53057414,352.8717
gWA_sBM_cAll_d25_mWA0_ch02,gWA,720,0.47023198,0.33505625,2.293524,0.40944105,338.0968
gWA_sBM_cAll_d26_mWA0_ch07,gWA,720,0.18463594,0.124143526,0.8915395,0.15495498,132.75323
gJS_sBM_cAll_d02_mJS0_ch01,gJS,720,0.015010123,0.01359603,0.081297874,0.0110031385,10.792278
gLH_sBM_cAll_d18_mLH3_ch01,gLH,524,0.99525887,0.5439879,2.140674,0.87962306,520.5204
gJS_sBM_cAll_d02_mJS1_ch01,gJS,640,0.020470012,0.01919502,0.15266593,0.015888758,13.080338
gLH_sBM_cAll_d18_mLH2_ch01,gLH,576,1.0823475,0.6178545,2.4449577,0.9101761,622.34985
gLO_sBM_cAll_d15_mLO2_ch02,gLO,576,0.05037845,0.034370173,0.15595973,0.040392786,28.967607
gLO_sBM_cAll_d15_mLO3_ch02,gLO,524,0.09474946,0.08813634,0.35988617,0.057142068,49.553967
gLO_sBM_cAll_d13_mLO2_ch08,gLO,576,0.8553419,0.47545853,2.1913564,0.7805941,491.8216
gLH_sFM_cAll_d16_mLH4_ch05,gLH,1919,0.9618042,0.56589663,2.9667034,0.88636357,1844.7405
gMH_sBM_cAll_d24_mMH2_ch02,gMH,576,0.90733844,0.5028303,2.2769105,0.9031343,521.7196
gMH_sBM_cAll_d24_mMH3_ch02,gMH,524,0.7516588,0.48842213,1.8719088,0.6341005,393.11755
gMH_sBM_cAll_d24_mMH3_ch03,gMH,524,0.8704692,0.41770774,1.830166,0.8806371,455.2554
gLO_sBM_cAll_d13_mLO2_ch09,gLO,576,0.45413244,0.4906924,2.1704078,0.2337936,261.12616
gPO_sBM_cAll_d12_mPO2_ch01,gPO,576,0.41185227,0.2806665,1.1001209,0.32803765,236.81506
gPO_sBM_cAll_d12_mPO3_ch01,gPO,524,0.43611926,0.29550683,1.0855786,0.333586,228.09038
gHO_sFM_cAll_d21_mHO5_ch20,gHO,1706,1.2528828,0.48408797,3.5195975,1.2121086,2136.1653
gLO_sBM_cAll_d15_mLO2_ch03,gLO,576,0.114378214,0.14944007,0.56150246,0.04055501,65.76747
gWA_sBM_cAll_d26_mWA0_ch06,gWA,720,0.62307364,0.24722831,1.243283,0.6012331,447.98993
gWA_sBM_cAll_d25_mWA0_ch03,gWA,720,0.39021537,0.38345528,2.0754075,0.2650763,280.56485
gHO_sBM_cAll_d20_mHO4_ch01,gHO,443,0.73352766,0.2462293,1.3059378,0.7223986,324.21924
gHO_sFM_cAll_d19_mHO5_ch06,gHO,1706,0.97515047,0.44948444,3.2075682,0.91537446,1662.6316
gMH_sBM_cAll_d22_mMH3_ch09,gMH,524,1.5917928,0.9665697,4.0320163,1.4868075,832.5076
gHO_sBM_cAll_d20_mHO5_ch01,gHO,426,0.73929524,0.24990693,1.2898397,0.7372198,314.20047
gWA_sBM_cAll_d27_mWA5_ch02,gWA,443,1.0242074,0.67594546,4.4323506,0.90323865,452.69965
gJB_sBM_cAll_d07_mJB0_ch01,gJB,720,0.90823215,0.40341398,4.7719116,0.87678885,653.0189
gJB_sBM_cAll_d07_mJB1_ch01,gJB,640,1.0675062,0.3859644,2.1079307,1.0783069,682.1365
gHO_sBM_cAll_d20_mHO5_ch03,gHO,426,0.94472754,0.32995594,1.8054941,0.9679387,401.50922
gWA_sBM_cAll_d25_mWA0_ch01,gWA,720,0.5246645,0.28454733,1.3618287,0.4749102,377.2338
gWA_sBM_cAll_d25_mWA1_ch01,gWA,640,0.58146477,0.33161333,1.5747454,0.48388606,371.556
gWA_sBM_cAll_d26_mWA0_ch04,gWA,720,0.57124805,0.28936327,1.3333976,0.52468526,410.72736
gWA_sBM_cAll_d26_mWA0_ch10,gWA,720,0.7486937,0.41758293,2.243165,0.7189762,538.3108
gLH_sBM_cAll_d18_mLH2_ch02,gLH,576,1.1277057,0.42323953,1.9381574,1.1828982,648.4308
gJS_sBM_cAll_d02_mJS1_ch02,gJS,640,0.13847974,0.17767422,0.751188,0.049944855,88.488556
gLH_sBM_cAll_d18_mLH3_ch02,gLH,524,1.117968,0.4379368,2.1707547,1.1470026,584.69727
gJS_sBM_cAll_d02_mJS0_ch02,gJS,720,0.13388397,0.17305696,0.7115701,0.044779517,96.26257
gLO_sBM_cAll_d15_mLO3_ch01,gLO,524,0.07737993,0.07841503,0.34996888,0.03659392,40.469704
gLO_sBM_cAll_d15_mLO2_ch01,gLO,576,0.08741506,0.09803692,0.45059013,0.043768942,50.26366
gMH_sBM_cAll_d24_mMH3_ch01,gMH,524,0.76127225,0.33289674,1.8613323,0.7362567,398.1454
gMH_sBM_cAll_d24_mMH2_ch01,gMH,576,0.94674337,0.4038525,1.9849724,0.9471213,544.37744
gPO_sBM_cAll_d12_mPO3_ch02,gPO,524,0.57672775,0.34869853,1.5332775,0.49338064,301.6286
gPO_sBM_cAll_d12_mPO2_ch02,gPO,576,0.5950872,0.36747995,1.6835713,0.5316733,342.1751
gWA_sBM_cAll_d26_mWA0_ch05,gWA,720,0.5044712,0.24959955,1.2710304,0.4569898,362.71478
gHO_sBM_cAll_d20_mHO5_ch02,gHO,426,0.8913919,0.36310214,1.8322006,0.8942902,378.84155
gHO_sBM_cAll_d20_mHO4_ch02,gHO,443,0.767391,0.2602442,1.3820817,0.78727823,339.18683
gWA_sBM_cAll_d27_mWA4_ch01,gWA,480,0.7226585,0.49841988,3.986034,0.6172205,346.15344
gJB_sBM_cAll_d07_mJB1_ch02,gJB,640,1.5505608,0.71734756,4.742675,1.510378,990.80835
gJB_sBM_cAll_d07_mJB0_ch02,gJB,720,1.287023,0.5994579,3.5661001,1.2043961,925.3695
gMH_sBM_cAll_d22_mMH1_ch02,gMH,640,0.9470509,0.42122355,1.9328965,0.9435328,605.1655
gMH_sBM_cAll_d22_mMH0_ch02,gMH,720,1.206382,0.5193694,2.6090717,1.178863,867.3887
gLH_sBM_cAll_d18_mLH4_ch01,gLH,480,1.1629432,0.52915305,2.4015028,1.0929456,557.0498
gLH_sBM_cAll_d18_mLH5_ch01,gLH,443,1.3308111,0.6243214,2.7869484,1.2253324,588.2185
gLO_sBM_cAll_d15_mLO5_ch02,gLO,443,0.07361068,0.058632895,0.26350904,0.043640673,32.53592
gLO_sBM_cAll_d15_mLO4_ch02,gLO,480,0.036821928,0.024967384,0.15426536,0.03184634,17.637703
gLH_sBM_cAll_d16_mLH3_ch02,gLH,524,1.5644319,0.79699916,4.5787053,1.4223039,818.1979
gLH_sBM_cAll_d16_mLH2_ch02,gLH,576,1.2045273,0.49743998,2.467473,1.1530143,692.60315
gJS_sBM_cAll_d03_mJS3_ch05,gJS,524,0.05180135,0.032199778,0.17012736,0.045223866,27.092106
gLO_sBM_cAll_d13_mLO1_ch02,gLO,640,0.3071251,0.18297358,0.72450846,0.29864186,196.25293
gLO_sBM_cAll_d13_mLO0_ch02,gLO,720,0.1913495,0.121142864,0.4732643,0.18699825,137.58029
gMH_sBM_cAll_d24_mMH5_ch02,gMH,443,1.2428849,0.740242,2.9188762,1.0666544,549.3551
gBR_sBM_cAll_d05_mBR4_ch01,gBR,480,1.1478215,0.4219579,1.9101357,1.2134496,549.8065
gMH_sBM_cAll_d24_mMH4_ch02,gMH,480,0.9565254,0.5123753,2.1505258,0.9773264,458.17566
gBR_sBM_cAll_d05_mBR5_ch01,gBR,443,1.1120964,0.37689006,1.9246082,1.1379999,491.5466
gJB_sFM_cAll_d08_mJB5_ch14,gJB,1771,1.3637692,0.9201567,5.5781145,1.2713398,2413.8713
gPO_sBM_cAll_d10_mPO1_ch01,gPO,640,0.2860482,0.19185206,0.6785248,0.21782373,182.7848
gPO_sBM_cAll_d10_mPO0_ch01,gPO,720,0.27331305,0.186447,0.70916635,0.2155666,196.51207
gBR_sBM_cAll_d04_mBR0_ch05,gBR,720,0.9451952,0.47883078,2.548533,0.97285557,679.59534
gBR_sBM_cAll_d04_mBR0_ch04,gBR,720,0.77708143,0.35074377,1.9393675,0.7405623,558.72156
gHO_sBM_cAll_d19_mHO3_ch01,gHO,460,0.8755803,0.33327967,1.5503702,0.88430715,401.89136
gHO_sBM_cAll_d19_mHO2_ch01,gHO,480,0.598922,0.24061354,1.2456127,0.5913194,286.88364
gPO_sBM_cAll_d12_mPO5_ch01,gPO,443,0.5115445,0.33752444,1.2882972,0.4099977,226.10268
gPO_sBM_cAll_d12_mPO4_ch01,gPO,480,0.42240787,0.35129157,1.1701237,0.26060933,202.33337
gKR_sBM_cAll_d28_mKR2_ch01,gKR,576,0.5198111,0.29717544,1.4583713,0.4799584,298.8914
gKR_sBM_cAll_d28_mKR3_ch01,gKR,524,1.6429353,0.63201994,3.827484,1.5356958,859.2551
gJS_sBM_cAll_d03_mJS3_ch04,gJS,524,0.831385,0.82388127,2.8690417,0.50961626,434.81436
gJB_sBM_cAll_d09_mJB5_ch08,gJB,443,1.4080554,0.63504237,3.1185412,1.3679132,622.3605
gJB_sBM_cAll_d08_mJB5_ch06,gJB,443,3.091951,0.8311838,7.3296556,3.0755992,1366.6423
gPO_sFM_cAll_d11_mPO1_ch09,gPO,2558,0.44504267,0.3493471,4.5455713,0.36043003,1137.9741
gWA_sBM_cAll_d27_mWA2_ch02,gWA,576,0.84290594,0.6326035,5.5578094,0.6860531,484.67093
gWA_sBM_cAll_d27_mWA3_ch02,gWA,524,0.8718751,0.67559314,4.102252,0.6881359,455.9907
gMH_sBM_cAll_d22_mMH0_ch01,gMH,720,1.0935266,0.41782412,2.0628493,1.1245035,786.24567
gMH_sBM_cAll_d22_mMH1_ch01,gMH,640,0.8903558,0.4148849,1.9543959,0.870287,568.9374
gLH_sBM_cAll_d18_mLH5_ch02,gLH,443,1.4656783,0.67872506,3.1721222,1.445303,647.82983
gLH_sBM_cAll_d18_mLH4_ch02,gLH,480,1.2431852,0.5229134,2.5173035,1.2477651,595.4857
gLO_sBM_cAll_d15_mLO4_ch01,gLO,480,0.07319337,0.07072625,0.349065,0.04722028,35.059624
gLO_sBM_cAll_d15_mLO5_ch01,gLO,443,0.19792536,0.26210493,1.0650909,0.066024646,87.48301
gJB_sBM_cAll_d08_mJB5_ch04,gJB,443,0.83087033,0.3479946,1.656186,0.7910196,367.2447
gJB_sBM_cAll_d08_mJB5_ch10,gJB,443,0.60395247,0.2715352,1.8833095,0.57020366,266.947
gLH_sBM_cAll_d16_mLH2_ch01,gLH,576,1.1798158,0.59352803,2.958721,1.0688636,678.39404
gBR_sFM_cAll_d04_mBR0_ch01,gBR,2878,0.9568046,0.5070401,4.0026298,0.91916484,2752.7268
gLH_sBM_cAll_d16_mLH3_ch01,gLH,524,1.4130563,0.676432,3.0682676,1.3517251,739.02844
gJS_sBM_cAll_d03_mJS3_ch06,gJS,524,0.6653928,0.488213,2.0292802,0.57719827,348.00043
gKR_sBM_cAll_d28_mKR2_ch03,gKR,576,0.28892127,0.22058246,1.5437423,0.22690466,166.12973
gLO_sBM_cAll_d13_mLO0_ch01,gLO,720,0.14819115,0.14423607,0.6824223,0.09092695,106.54944
gLO_sBM_cAll_d13_mLO1_ch01,gLO,640,0.21096073,0.18038197,0.73455787,0.16239022,134.80391
gMH_sBM_cAll_d24_mMH4_ch01,gMH,480,1.15365,0.5565352,2.9622662,1.1388872,552.5984
gBR_sBM_cAll_d05_mBR5_ch02,gBR,443,0.69202197,0.26918465,1.3984404,0.7109884,305.87372
gMH_sBM_cAll_d24_mMH5_ch01,gMH,443,1.480552,0.57692575,3.0524175,1.5091722,654.404
gBR_sBM_cAll_d05_mBR4_ch02,gBR,480,0.9022089,0.45456517,4.4820075,0.8685117,432.15808
gBR_sBM_cAll_d05_mBR0_ch08,gBR,720,1.3207706,1.2034426,13.720839,1.1502347,949.6341
gPO_sBM_cAll_d10_mPO0_ch02,gPO,720,0.35755447,0.22240968,0.97033614,0.32230592,257.08167
gPO_sBM_cAll_d10_mPO1_ch02,gPO,640,0.42761612,0.2641288,1.2016253,0.3936204,273.2467
gBR_sBM_cAll_d04_mBR0_ch06,gBR,720,1.417069,0.5407473,3.5403926,1.4402769,1018.8726
gHO_sBM_cAll_d19_mHO2_ch02,gHO,480,0.9119865,0.32329607,1.5441736,0.9359126,436.84152
gHO_sBM_cAll_d19_mHO3_ch02,gHO,460,1.0726955,0.48739251,2.1953645,1.0398245,492.36722
gPO_sBM_cAll_d10_mPO1_ch03,gPO,640,0.11961212,0.09348758,0.3988557,0.084167175,76.432144
gBR_sBM_cAll_d05_mBR0_ch09,gBR,720,0.6742546,0.40680808,2.2306583,0.59128356,484.78906
gPO_sBM_cAll_d12_mPO4_ch02,gPO,480,0.4802124,0.35389835,1.6082215,0.39838752,230.02173
gPO_sBM_cAll_d12_mPO5_ch02,gPO,443,0.7740288,0.42050895,1.9144295,0.69803095,342.12073
gKR_sBM_cAll_d28_mKR3_ch02,gKR,524,1.572933,0.7455069,3.6993365,1.6383544,822.6439
gKR_sBM_cAll_d28_mKR2_ch02,gKR,576,0.5583183,0.48916557,2.0801032,0.34260032,321.03302
gJS_sBM_cAll_d03_mJS3_ch07,gJS,524,0.34493548,0.32050404,1.5542593,0.2367212,180.40126
gJB_sBM_cAll_d08_mJB5_ch05,gJB,443,1.4251951,0.65380174,3.2017274,1.3291097,629.9362
gLH_sBM_cAll_d18_mLH4_ch03,gLH,480,0.71429586,0.28992006,1.3653619,0.7170418,342.1477
gJS_sBM_cAll_d01_mJS3_ch08,gJS,524,1.3103205,0.60291207,3.7139666,1.323593,685.2976
gLH_sBM_cAll_d18_mLH4_ch07,gLH,480,0.74007535,0.3329052,1.7822897,0.6780346,354.4961
gJB_sBM_cAll_d08_mJB5_ch01,gJB,443,0.9514044,0.39996672,2.3747406,0.9218663,420.52075
gJB_sBM_cAll_d08_mJB4_ch01,gJB,480,1.2085147,0.42747602,2.907684,1.1641697,578.87854
gJS_sBM_cAll_d03_mJS3_ch03,gJS,524,0.33575758,0.32883242,1.2800796,0.20836993,175.60121
gKR_sBM_cAll_d28_mKR2_ch06,gKR,576,0.7785045,0.6050283,2.3093274,0.4984727,447.64008
gPO_sBM_cAll_d11_mPO1_ch09,gPO,640,0.7774124,0.47362584,2.1929424,0.7202188,496.76654
gBR_sBM_cAll_d06_mBR5_ch02,gBR,443,0.8435005,0.35248047,2.2936502,0.7829681,372.8272
gBR_sBM_cAll_d06_mBR4_ch02,gBR,480,0.73228794,0.31613454,1.7200491,0.70224744,350.76593
gBR_sBM_cAll_d04_mBR0_ch03,gBR,720,1.006482,0.43394208,1.9369576,1.0697542,723.6605
gJB_sFM_cAll_d09_mJB5_ch20,gJB,1771,0.89176786,0.7780498,7.0026207,0.6767241,1578.4291
gPO_sBM_cAll_d10_mPO1_ch07,gPO,640,0.29866567,0.20895743,0.9808519,0.26765722,190.84737
gJS_sFM_cAll_d03_mJS3_ch04,gJS,2093,0.75552326,0.47850445,3.360939,0.6344373,1580.5547
gPO_sBM_cAll_d10_mPO1_ch06,gPO,640,0.1263337,0.086027674,0.38958666,0.09941249,80.727234
gBR_sBM_cAll_d04_mBR1_ch02,gBR,640,0.94207764,0.4245447,2.0084758,0.9510912,601.9876
gBR_sBM_cAll_d04_mBR0_ch02,gBR,720,0.95309496,0.43958175,2.0527713,0.9767451,685.27527
gPO_sBM_cAll_d11_mPO1_ch08,gPO,640,0.6804418,0.34882593,1.4359068,0.71378154,434.8023
gJB_sFM_cAll_d08_mJB5_ch13,gJB,1771,1.0431144,0.6305944,3.6654594,0.97632015,1846.3125
gPO_sBM_cAll_d11_mPO4_ch02,gPO,480,0.40537766,0.23532772,1.1346909,0.3693378,194.1759
gPO_sBM_cAll_d11_mPO5_ch02,gPO,443,0.50928783,0.24518956,1.1104724,0.48561382,225.10522
gKR_sBM_cAll_d28_mKR2_ch07,gKR,576,1.5865543,0.84240085,3.6642194,1.6486131,912.26874
gLO_sBM_cAll_d14_mLO0_ch01,gLO,720,0.4048855,0.34288913,2.3915906,0.3123675,291.11267
gLO_sBM_cAll_d14_mLO1_ch01,gLO,640,0.49107832,0.40146452,2.3376808,0.3788362,313.79904
gJS_sBM_cAll_d03_mJS2_ch02,gJS,576,0.11854992,0.13005964,0.56117225,0.06548641,68.16621
gJS_sBM_cAll_d03_mJS3_ch02,gJS,524,0.1215368,0.14223294,0.6005372,0.05363558,63.563747
gMH_sBM_cAll_d23_mMH4_ch01,gMH,480,0.8879808,0.3397053,1.6678958,0.8513083,425.3428
gMH_sBM_cAll_d23_mMH5_ch01,gMH,443,0.74241453,0.36395636,1.6030675,0.7075222,328.14722
gLH_sBM_cAll_d18_mLH4_ch06,gLH,480,0.7646186,0.3293254,1.5765522,0.73252785,366.2523
gJS_sBM_cAll_d01_mJS3_ch09,gJS,524,1.2762216,0.95044655,4.1957135,1.1633934,667.4639
gLH_sBM_cAll_d18_mLH4_ch04,gLH,480,0.59611547,0.21237323,1.1803437,0.5914544,285.5393
gLH_sBM_cAll_d18_mLH4_ch10,gLH,480,0.47419474,0.21851872,1.2317436,0.46810338,227.13928
gJB_sBM_cAll_d08_mJB4_ch02,gJB,480,1.4924072,0.52747613,3.2868152,1.3620273,714.86304
gJB_sBM_cAll_d08_mJB5_ch02,gJB,443,1.4526718,0.55494225,3.6509001,1.3906052,642.08093
gKR_sBM_cAll_d28_mKR2_ch05,gKR,576,1.1362457,0.5981067,2.7060394,1.0974848,653.3413
gBR_sBM_cAll_d06_mBR4_ch01,gBR,480,1.3164823,0.49907777,2.7932088,1.3242924,630.59503
gBR_sBM_cAll_d06_mBR5_ch01,gBR,443,1.7649536,0.52714837,3.5357928,1.7345266,780.1095
gPO_sBM_cAll_d10_mPO1_ch04,gPO,640,0.032693084,0.02438131,0.10268012,0.028317563,20.89088
gPO_sBM_cAll_d10_mPO1_ch10,gPO,640,0.58806944,0.3191347,1.4447314,0.53922075,375.77637
gPO_sBM_cAll_d10_mPO1_ch05,gPO,640,0.1013982,0.067479536,0.2710292,0.085224636,64.79345
gBR_sBM_cAll_d04_mBR0_ch01,gBR,720,0.72016406,0.3081671,1.4834565,0.7283933,517.798
gBR_sBM_cAll_d04_mBR1_ch01,gBR,640,1.1482319,0.3943853,1.9018658,1.2304353,733.72015
gPO_sBM_cAll_d11_mPO5_ch01,gPO,443,0.48283795,0.266363,1.0857579,0.47632754,213.41437
gPO_sBM_cAll_d11_mPO4_ch01,gPO,480,0.38985524,0.27293217,0.9896019,0.35174268,186.74066
gKR_sBM_cAll_d28_mKR2_ch04,gKR,576,0.38821012,0.17138693,1.0425555,0.36158204,223.22083
gKR_sBM_cAll_d28_mKR2_ch10,gKR,576,0.3855391,0.24438824,1.2397845,0.36279944,221.685
gLO_sBM_cAll_d14_mLO1_ch02,gLO,640,0.48074394,0.32227275,1.6983609,0.4180923,307.19537
gLO_sBM_cAll_d14_mLO0_ch02,gLO,720,0.4341041,0.27866384,1.2903721,0.38199195,312.12085
gPO_sFM_cAll_d10_mPO1_ch02,gPO,2558,0.45748797,0.36498386,3.5412955,0.36047536,1169.7968
gJS_sBM_cAll_d03_mJS3_ch01,gJS,524,0.025174063,0.021477623,0.12526833,0.019288039,13.166035
gJS_sBM_cAll_d03_mJS2_ch01,gJS,576,0.026730616,0.02767578,0.17656523,0.01835548,15.370104
gMH_sBM_cAll_d23_mMH5_ch02,gMH,443,1.0872095,0.6254171,2.72678,0.8895664,480.54657
gMH_sBM_cAll_d23_mMH4_ch02,gMH,480,0.9476922,0.54238546,2.4150684,0.8831463,453.94458
gJB_sBM_cAll_d08_mJB5_ch03,gJB,443,1.0742139,0.4852363,3.2089586,0.9792211,474.80255
gLH_sBM_cAll_d18_mLH4_ch05,gLH,480,1.0512203,0.4295471,2.0435154,1.0822104,503.53455
gKR_sFM_cAll_d28_mKR2_ch03,gKR,2302,0.9552008,0.57161814,3.8567514,0.84267336,2197.917
gWA_sBM_cAll_d25_mWA3_ch01,gWA,524,0.4371715,0.22125086,1.8719988,0.40957335,228.64069
gWA_sBM_cAll_d25_mWA2_ch01,gWA,576,0.5175534,0.38400966,3.975453,0.4132273,297.5932
gJS_sBM_cAll_d01_mJS3_ch07,gJS,524,0.4032206,0.37514478,1.6309493,0.24064492,210.88437
gLH_sBM_cAll_d18_mLH4_ch08,gLH,480,0.49253,0.23087795,1.056677,0.47329587,235.92186
gKR_sBM_cAll_d28_mKR2_ch09,gKR,576,0.74559575,0.41846555,1.9433274,0.6376152,428.71756
gBR_sBM_cAll_d05_mBR1_ch02,gBR,640,1.1625662,0.53310907,2.581547,1.1555465,742.87976
gBR_sBM_cAll_d05_mBR0_ch02,gBR,720,0.92314696,0.43916,1.9467139,0.9567411,663.7427
gPO_sBM_cAll_d11_mPO1_ch06,gPO,640,0.25426894,0.122160316,0.72312593,0.24152918,162.47786
gPO_sBM_cAll_d10_mPO1_ch08,gPO,640,0.9807053,0.49627426,2.355524,1.0103257,626.6707
gPO_sBM_cAll_d10_mPO1_ch09,gPO,640,0.39850146,0.2206505,0.9145528,0.39660648,254.64243
gPO_sBM_cAll_d11_mPO1_ch07,gPO,640,0.35568333,0.22746244,1.1083825,0.30131778,227.28165
gJS_sFM_cAll_d02_mJS3_ch04,gJS,2093,0.9020421,0.5539115,6.7916923,0.7878973,1887.072
gBR_sBM_cAll_d05_mBR0_ch03,gBR,720,0.9781788,0.4109464,1.9763854,1.0305628,703.31055
